mood_score,feeling,reason,change_reason,created_at
35,하루 종일 몸이 무겁고 피곤함,과도한 프로젝트 업무와 야근,따뜻한 차를 마시며 명상함,2026-04-20T11:00:00Z
50,평범하고 무난한 월요일,특별한 일 없이 일상적인 코딩 진행,동료들과 가벼운 수다,2026-04-21T12:30:00Z
75,기분 좋고 에너지가 넘침,친구와 오랜만에 저녁 약속을 잡음,맛있는 음식을 먹으며 힐링,2026-04-22T19:00:00Z
60,차분하고 편안한 상태,비가 내려서 집에서 음악을 들음,조용한 재즈 플레이리스트,2026-04-23T15:00:00Z
40,몸이 지치고 약간 답답함,갑작스러운 요구사항 변경으로 삽질,초콜릿을 먹으며 단것 보충,2026-04-24T18:20:00Z
85,매우 행복하고 뿌듯함,한 주간의 목표 기능을 모두 완성함,주말이 시작되어 해방감,2026-04-25T17:00:00Z
90,기분이 날아갈 것 같음,가족들과 근교로 드라이브를 다녀옴,시원한 바람과 맛있는 식사,2026-04-26T14:15:00Z
55,월요병 때문에 약간 무기력함,다시 시작된 월요일 업무 회의,달달한 바닐라 라떼 수혈,2026-04-27T09:30:00Z
65,집중이 잘 되고 뿌듯함,오전 중에 밀린 할 일들을 속전속결 처리,뿌듯함에 기분이 한층 좋아짐,2026-04-28T16:00:00Z
30,두통이 있고 피곤함,환절기 감기 기운 때문에 컨디션 난조,약 먹고 일찍 누워서 휴식,2026-04-29T21:00:00Z
45,그저 그렇고 조금 나른함,날씨가 우중충해서 몸이 안 움직임,가벼운 스트레칭으로 순환,2026-04-30T14:00:00Z
70,만족스럽고 여유로움,오랜만에 서점에 가서 마음에 드는 책을 삼,카페에서 독서 타임,2026-05-01T15:45:00Z
80,신나고 즐거움,주말을 맞아 친구들과 보드게임을 함,배꼽 잡고 웃으며 스트레스 해소,2026-05-02T19:30:00Z
60,평화롭고 고요함,늦잠을 자고 일어나 집 청소를 마침,깨끗해진 방을 보며 개운함,2026-05-03T11:00:00Z
48,회사 일로 약간 스트레스,회의 일정이 길어져 머리가 복잡함,저녁에 한강 산책 30분,2026-05-04T18:00:00Z
52,잔잔한 기분,오후 업무가 생각보다 일찍 끝남,퇴근길 노을 감상하며 힐링,2026-05-05T17:40:00Z
20,의욕이 없고 많이 우울함,사소한 일로 친한 사람과 갈등이 생김,속상한 마음을 일기에 솔직하게 기록,2026-05-06T20:10:00Z
38,마음이 복잡하고 지침,미래에 대한 걱정이 불쑥 찾아옴,따뜻한 우유를 마시고 명상 음악 청취,2026-05-07T22:00:00Z
55,조금씩 나아지는 상태,상대방과 솔직하게 대화하여 오해를 풂,마음의 짐이 덜어져 안도함,2026-05-08T15:30:00Z
75,성취감이 들고 가벼움,까다로운 버그를 하루 종일 붙잡아 드디어 해결,유튜브 코딩 힐링 영상 시청,2026-05-09T18:50:00Z
85,매우 기쁘고 기분 좋음,부모님 생신을 맞아 맛있는 케이크를 선물함,고맙다는 말씀에 마음이 훈훈함,2026-05-10T13:00:00Z
62,차분한 기분,다시 힘내서 다음 한 주를 기획함,다이어리에 이달의 목표 작성,2026-05-11T19:15:00Z
50,적당히 평온한 일상,회사 업무 루틴대로 성실하게 보냄,유튜브 숏츠 보며 가벼운 웃음,2026-05-12T16:30:00Z
40,피로가 누적된 상태,잠을 깊게 자지 못해 오전 내내 헤맴,낮잠 20분을 자며 충전,2026-05-13T13:00:00Z
68,기분이 한결 상쾌함,저녁에 헬스장에 가서 땀을 흘리며 운동함,운동 후 개운한 샤워,2026-05-14T21:00:00Z
72,마음이 든든함,멘토링 세션에서 긍정적인 피드백을 받음,더 잘해봐야겠다는 동기부여,2026-05-15T15:20:00Z
95,인생이 행복하고 활력 넘침,해커톤 팀 매칭이 성공적으로 완료됨,팀원들과 대화가 너무 잘 통함,2026-05-16T17:50:00Z
80,편안하고 충만함,주말을 맞아 캠핑을 다녀옴,불멍을 하며 일상 속 스트레스 아웃,2026-05-17T12:00:00Z
58,월요일 복귀 준비 완료,집에서 푹 쉬면서 맛있는 집밥을 먹음,좋아하는 넷플릭스 드라마 몰아보기,2026-05-18T20:30:00Z
70,오늘은 아주 기분 좋은 날,새로운 기능 구현이 빠르게 끝나서 정시 퇴근,치맥으로 하루를 맛있게 마무리,2026-05-19T18:10:00Z
